vm-1	192.168.0.9	2801:b0:10:24:f816:3eff:fe5c:b5f
vm-2	192.168.0.12	2801:b0:10:24:f816:3eff:fef8:c55f
vm-3	192.168.0.5	2801:b0:10:24:f816:3eff:fe29:4c6a
vm-4	192.168.0.16	2801:b0:10:24:f816:3eff:fe97:e560
vm-5	192.168.0.15	2801:b0:10:24:f816:3eff:fe4a:183e
vm-6	192.168.0.4	2801:b0:10:24:f816:3eff:fec7:f16f
vm-7	192.168.0.18	2801:b0:10:24:f816:3eff:fe5b:16e
vm-8	192.168.0.14	2801:b0:10:24:f816:3eff:fea4:5e52
vm-9	192.168.0.19	2801:b0:10:24:f816:3eff:fe0c:7d7e
vm-10	192.168.0.21	2801:b0:10:24:f816:3eff:fe6e:dfd7
vm-11	192.168.0.24	2801:b0:10:24:f816:3eff:fec4:fa41
vm-12	192.168.0.11	2801:b0:10:24:f816:3eff:fe7c:ad8f
