192.168.0.13 2801:b0:10:24:f816:3eff:fe40:b638 vm-1
192.168.0.14 2801:b0:10:24:f816:3eff:fe2d:cc28 vm-2
192.168.0.8 2801:b0:10:24:f816:3eff:fe83:379 vm-3
192.168.0.4 2801:b0:10:24:f816:3eff:fe9a:9e51 vm-4
192.168.0.9 2801:b0:10:24:f816:3eff:fea1:3337 vm-5
192.168.0.16 2801:b0:10:24:f816:3eff:feb5:f36c vm-6
192.168.0.19 2801:b0:10:24:f816:3eff:fe7f:cfd8 vm-7
192.168.0.12 2801:b0:10:24:f816:3eff:feb1:39ed vm-8
192.168.0.24 2801:b0:10:24:f816:3eff:feea:8cd3 vm-9
192.168.0.11 2801:b0:10:24:f816:3eff:fea6:674 vm-10
192.168.0.21 2801:b0:10:24:f816:3eff:fe50:393b vm-11
192.168.0.23 2801:b0:10:24:f816:3eff:fe01:8b80 vm-12
